6	44	Side mirrors reverse tilt down can be switched OFF, trunk has push button right above license plate (slightly to the right).	3
7	46	I love the power the V6 provides	4
7	48	"I got it in black with the 17"" rims and love the way it looks!"	2
8	49	The body of this car is by far the best looking on the road today	2
8	50	And Deep Sea Blue is the most beautiful color I?ve seen	2
8	51	In the shade it looks black, but in the sunlight it?s a gorgeous three dimensional metallic shade of dark blue	2
8	53	The conclusion: the car has awesome lines regardless of color	2
10	67	Truly, I thought I would give up a lot to save gas and the environment but instead was quite surprised! Got the hybrid fully loaded and couldn't be happier	0
11	69	The car is beautifully crafted with subtle elegance	2
11	70	The AWD worked superbly in snow and ice	4
15	97	MPG avg is 41 mostly highway but a little mix	0
18	115	Lot's of fun to drive, and nearly as versatile as a minivan	7
18	116	Seems to be very well built	3
19	123	Honda states they are having battery problems	4
24	150	We have the Limited V6 with everything but GPS	3
25	155	Fun to drive	7
25	158	Only slightly smaller in back than my 4runner	3
25	167	Gas pedal seems to be on wrong angle for me (6' and slim)	3
25	168	Right foot hurts if I drive highway too long	5
25	170	It is a slick looking car	2
26	178	more comfortable	5
28	197	The power & acceleration is outstanding for this small 1.5L engine	4
30	204	After our third came around it was time to move up in terms of size with our vehicles	3
31	212	The ML interior is great compared to the others	1
32	221	Take the build quality up a bit, and you get a new Ford	3
32	222	The car feels like its built very well	3
33	228	Altima appearance to me is far superior inside and out	2
35	243	However, all of the other interior details make up for this shortcoming	1
35	244	The engine is very responsive and the CVT is seamless	4
35	245	You can't even feel the car shift!	5
38	260	Not to mention that it is more fun to drive	7
41	276	I get plenty of compliments and makes me feel happy to drive it	7
41	278	Once you're higher up, engine feels like it struggles to move up, nevertheless it's fast enough for me unless you're looking for a speeding ticket.	4
42	283	This became uncomfortable even during a short drive; during a long trip it would be unbearable.	5
43	284	Style is obviously good	2
43	285	But the interior (radio and environmental) is not that impressive	1
43	288	The leather seems pretty cheesy	1
43	289	If you put something lightly heavy on the seats it show an indentation forever	1
43	294	At night the interior lights do night dime enough	1
44	301	The 6 cyl has better performance and had a better response time	4
45	307	It really is a great value compact SUV for the money, not to mention the Honda reliability	6
50	335	My wife and I enjoy driving this car	7
51	343	A/C works like a champ, and cools the car in about a minute with fan speed initially set at 3	4
51	347	The engine runs cool.	4
53	363	People stare at it when we stop at lights and restaurants	2
54	369	The Hemi-Orange is a real standout and gets attention	2
54	371	Slower than the old 426, but does get up and run	4
55	382	The new 09 Forester is a perfect size for my small family	3
57	400	The seats are very comfortable	5
58	408	I'm having lots of fun driving this baby around	7
59	416	My kid can enjoy the cartoon network 24/7 now	7
60	420	It has run down protection so the battery should never go dead	4
62	430	Just goes to show you how much space it has.	1
63	437	Turning radius makes it easy to handle	5
63	438	Seating comfort and room is 100% better in 2009 than 2008.	5
65	451	Was driving it again and slowed down to turn a corner and it died for no reason	4
68	464	This is one of the most fun cars to drive	7
69	475	I enjoy driving it.	7
71	487	The car is plenty peppy and a lot of fun to drive	7
73	497	The engine is strong for a 1.8 liter and has ample pull with a smooth transmission	4
75	506	I could not stand the uncomfortable seats any longer	5
75	507	The headrests bothered me because they would push my head forward no matter which height they were at and the seats were rather hard and the lumbar support did not provide much satisfaction	5
75	510	The seats are much more comfortable and I no longer have back pain when driving.	5
77	525	My only major gripe with the car is the interior	1
77	527	I think it is the worst interior off all the cars competing in this segment	1
77	528	The interior of the Audi, Benz, Lexus, and Cadillac is a lot better	1
78	531	My wife and I are getting older so we wanted comfort, which the Flex excels at for both short trips around town and long trips when we visit our grandchildren 300 miles away	5
85	582	Build quality is unparalleled	3
85	588	Much more comfortable truck than previos models	5
86	594	Since the adoption of the car, I have been stunned every day by 1.8 liter engine's peppy performance on free way	4
86	595	I couldn't figure out how the small engine has the great power, compared to my previous 8 cylinder coupe	4
87	602	For the first time in a long time, it's fun driving to and from work	7
87	604	It corners, accelerates, hauls, and pulls a landscape trailer like it isn't even there	4
87	606	Plenty of interior storage space, even though it's a regular cab	1
88	611	Only thing I would do different is get the car in Black and get the Nav	2
89	615	Handles great, comfortable on long drives, and have no major issues with the car so far.	5
97	648	The leather is fading inside already - car is garage kept	1
98	655	The controls are very easy to operate and make this a very convenient vehicle	5
99	665	The engine is very responsive in all situations	4
99	666	Breaks are also responsive without being too touchy	4
99	668	This model comes well equipped and avoids including many of the useless bells and whistles other SUVs have	3
101	678	I recently took this vehicle on a 6 hour road trip and I was actually in pain when I arrived at my destination	5
101	679	The driver's seat is rock hard and has very little leg and back support	5
101	680	If you have leg and back problems, please think twice before purchasing this vehicle.	5
