とても上品なたたずまいを持っています,0
エントランスから他の施設とは違う雰囲気を感じました,0
施設内にはチャペルが存在し、全体的にヨーロピアンホテルのようでした,0
全館バリアフリーなので自由に動き回れます,0
二回の居室だったのですが、部屋の日当たりは良好,0
同じ回にあるテラスのいすに座り、日差しを浴びながら談笑し楽しい時間をすごす事ができました,0
人は多くなく、裕福な方が少人数でハイクオリティの介護を受ける施設だと思います,0
ここにおられる方々をみても品の良い方が多かったです,0
日々退屈にならないように趣向が凝らされたアクティビティがあります,1
年間行事などは他の施設でも行われる事とほぼ似たようなものですが、チャペルを使ったイベントが売りで、コンサート等行われています,1
またお祈りができるとの事なので、特定の宗教の方にはうれしいものではないでしょうか,1
職人の方と一緒に言った海外旅行のお話を楽しそうに話してくださいました,1
日々の時間を趣味に当て、どんどん腕を上達させていく方と、ゆったりとした生活を目的とした方とに分かれているそうです,1
知人は一番低価格なゴールドで14万円の管理費に食費（1日2000円）が加算され、大体20万円～の口座引き落としという事でした,2
一時金は2500万ほどとおっしゃっていたと思います,2
私は複数の施設に行っていますが、少人数制でスタッフの介護も手厚いですし、場所と施設の充実度を考えれば高いとは思いませんでした,2
金銭面に余裕があれば選択肢には十分入ってくると思います,2
グループ会社であるロングライフダイニング（株）の料理人が施設内の厨房で四季折々の料理を提供しています,3
雰囲気はレストラン調で、私も頂きましたが味はよかったです,3
味や硬さ等相談すれば、個々にあわせていただく事ができます,3
知人は年々歯が弱っているようで定期的に相談し、食べやすさと味、食感など相談しながら満足行く食事が出来るよう、その時その時で変えてもらっているそうです,3
施設の規模が小さめで、入居者が多くない事もあり、手厚い介護をしてくださいます,4
食事の話などスタッフの方も交えお話を伺いましたが、知人が過去どういう風に食事の質を変えてきたかということまで覚えていて説明してくださいました,4
細かなお願いや提案をしても嫌な顔せずに対応してくださるそうです,4
施設の雰囲気が上品で落ち着いている事もあるのか、スタッフも余裕をもって働いている印象を受けました,4
住宅街の中にあります,5
とても落ち着いている場所で心静かに日々の暮らしを送ることが出来ます,5
近くに祖師谷公園という自然のある場所もあるので、こういった施設の環境としては申し分ないと思います,5
小田急線「成城学園前」駅西口より小田急バス　「駒大グランド前」下車徒歩約5分と、アクセスも悪くありません,5

全室個室の為プライバシー守られています,0
玄関、廊下、居間には手すりが設けられており、自分で歩行が出来る様になっています,0
略毎月催し物が計画されいます,1
初詣、雛祭り、ミカン狩り、クリスマス会を楽しんでおられます,1
幼稚園児との交流会が一番楽しみと入居者のかたから聞きました,1
毎月159,760円の支払で、家賃、管理費、生活サービス費、食費が含み入りです,2
自分達で他の施設を見学済みの為想定内であり、納得しました,2
コンセプトが自宅と同じようにであり、家庭料理が中心です,3
お祭りの日にはお寿司も作って頂けるとの事でした,3
流動食に関しても対応可能でした,3
受付担当の方の案内で施設を見学しましたが、皆さん優しそうで、冗談が混じった会話が聞こえていました,4
建物の中と一緒で明るい雰囲気が印象的でした,4
夜間の勤務体制、緊急連絡体制、提携病院の説明も受けました,6
介護サービスの担当人員も多くその点は安心できました,6
学問の神様で有名な神社の近くにあり、緑が多く、静かな環境の住宅街に有ります,5
電車の駅からも近く、私の自宅からも車で20分です,5
電話で見学のお願いをしましたが、スムーズな対応で直ぐに日程の決めて頂きました,7
若いスタッフが多く、入居者に取っては孫の様な感じで話をされていました,7

階段の段差は無く、手すりも持ちやすい形状になっているので良かったです,0
施設の中も、ホテルのような作りになっていますので優雅に過ごせると思います,0
入居している人みんなが参加できるようなイベントが毎日行われているので、楽しそうに感じました,1
生活に飽きがこないように工夫されていると感じました,1
知人の場合、訳あって期間限定での利用になりましたが、このクオリティーならば妥当かなという金額でした,2
金額でいえば６００万ほどですが、本人も満足してたので良かったです,2
食事に関しては、私は食べてないので感想は書けませんが栄養士がいるので毎日バランスのよいメニューが出ていたと聞いています,3
皆さん趣味を持たれている方が多く、生き生きとしていらっしゃいました,4
施設の方も人柄がよく心強いと感じました,4
２４時間体制が整っているので安心しました,6
介護職員のスキルも高く、病院との連携もスムーズにとられていたので良かったです,6
成城ということで緑あふれる景色は最高でした,5
ただ車で結構時間がかかったので高齢者の方からすれば少し辛いのかなと感じます,5
電話・メールでの問い合わせに関しては迅速に丁寧であったので非常に好印象です,7
ただ待機している場合には、いくら待てばいいのか今後の参考にしたいので気になるところではあります,7

以前祖父が利用していた時の記憶ですが、スタッフの方々には親切に対応していただきました,0
祖父が怪我をして外出等を控えなければならない時入浴サービスをしていただいたり、トイレの介助とう親切でした,0
若いスタッフも多く、爽やかな施設だったのを覚えています,0
折り紙や手を動かす作業をしていたのを覚えています,1
自分で作ったものを部屋に飾っていたりしました,1
1日のタイムテーブルが決まっていて日毎に活動があったと思います,1
大きいイベントでは会費が発生したと思います,2
ただ、年金生活の上で当時の介護施設を利用するのは結構金額が必要だったと聞かされました,2
ミキサー食をつくっていただいていました,3
最初は祖父が抵抗していたためミキサー食の似たドリンクが支給されました,3
慣れてきた頃から完璧ミキサー食になったと思います,3
雰囲気は爽やかな感じです,4
若いスタッフもおおく、地域の利用者も多いのですが見かけると挨拶をしてくれます,4
祖父は利用がなかったので医療体制は詳しくわからないのです,6
マッサージのスタッフがいる時はたまに施術があったと思います,6
送迎がありますので、気軽に利用ができます,5
マイクロバスやくるまいすが乗せられる車でした,5
施設の駐車場はある程度広いです,5
入居の期間はなく、ほぼ訪問で介護していただきました,7
こちらが用事があるときは深夜の預かりなど対応していただいたようです,7

様々な施設を見てきましたが、さすがと言える施設です,0
