299,1982,Enough power to hold it's own against the big guys,1,,,,1,,,,
299,1983,"The leather sport seats are very comfortable -- I did an 8 hour trip a couple of weeks ago, and could have easily done another couple of hours that day",1,,,,,1,,,
299,1984,Average mileage has been 38 city / 43 highway,1,,,,1,,,,
299,1985,I had the same windshield washer issue that JMS mentioned,,1,,,,1,,,
299,1986,However I found that the nozzles are adjustable and was able to redirect the spray back to the windshield (as opposed to the roof of the car!),,1,,,,,,,
300,1989,"In my opinion none of the German cars come close to touching the MDX in handling, comfort and space",,,,,,1,,,
300,1990,Material could be a touch better in the MDX (the black fiberglass trim looks cheap for example),,,,1,,,,,
301,1993,After purchasing a 2009 Honda ex-l pilot I realize that the pre-wiring connection was a dummy connection,,,,,,,1,,
301,1994,I am not able to connect a trailer wiring harness unless I purchase the expensive kit from Honda,,,,,,,1,,
301,1996,I also found out splicing into the wiring voids the warranty,,,,,,,1,,
301,1997,Then I learned that remote start is a problem,,,,,,,1,,
301,1998,Turning the car off after remote start just to enter the car is the dumbest idea I ever heard,,,,,,,,,1
301,2000,I just wonder what else have Honda done to steer you back to them,,,,,,1,,,
302,2003,Lease was up on my 2005 Highlander V6 Limited which I enjoyed,,,,,,,,1,
302,2007,Can't believe the smoothness and quiet cabin which is my #1 priority,,,,,,1,,,
302,2009,Didn't take any adjusting from driving an SUV to a car which I thought I'd feel,,,,,,,1,,
302,2010,Gas mileage is excellent compared to the Highlander,,,,,1,,,,
303,2014,Pros: Body style is distinctive,,,1,,,,,,
303,2017,Quiet at highway speed,,,,,1,1,,,
303,2018,Uncluttered dash controls,,,,,,,1,,
303,2019,Huge trunk,,1,,,,,,,
303,2020,Nice firm suspension,,,,,,,1,,
303,2021,You don't blend into the sea of Camcords in a parking lot,,,,,1,,,,
303,2022,"Good combination of fuel efficiency, size, handling, and looks",1,,,,,,,,
303,2023,Base stereo far better than our Civic EX-L,,,,,,,,1,
303,2024,"Cons: Front seats shaped weirdly, not the best comfort",,,,,,1,,,
303,2025,Steering wheel obscures top of gauges when adjusted properly,,,,,,,1,,
303,2026,Stupid red gauge lighting reminds me of wife's old junky pontiac grand-am,,,,,,,,,1
303,2027,Auto trans shifts in and out of overdrive too often,,,,,,,1,,
303,2028,Clear shifter surround panel scratches easily,,,,,,,1,,
304,2032,"My other vehicle is F-150 V-8, but this little 4 banger (4 cyl) really has the power, I can't imagine a V-6 in this thing",,,,,1,,,,
304,2033,"It only has about 870 miles so far but it really goes fast, I have to watch my speed to keep it under 70 mph",,,,,1,,,,
304,2034,We took the car over to the coast to break in the engine,,,,,,,1,,
304,2035,"Up hill and down around sharp curves it was great, power was right there better than my F-150 V-8",,,,,1,,,,
304,2036,Gas mileage is outstanding..,1,,,,,,,,
304,2038,my average is 28.1 mpg,1,,,,,,,,
304,2040,The only bad thing is the brakes,,,,,,,1,,
304,2041,You really have to push the brake pedal hard when coming to a stop sign,,,,,1,1,,,
305,2043,Loved the features and styling by comparison,,,1,,,,,,
305,2044,"Beautiful car, great looking/functional interior, lots of car for the money",,,1,,,,,,
305,2045,"City mileage not as good as hoped, not the best visibility out because of high belt line and rear shelf, and transmission a little sluggish at times around town",1,1,,,,,,,
306,2054,"VW is definitely trying to move inventory, I guess Honda isn't desperate enough yet",,,,,,,1,,
306,2055,"I absolutely love the vehicle though, but I've only had it for a week so reliability is tough to judge at this point",,,,,,,,1,
307,2057,2009 ES in red and black interior - 2wd My wife loves this SUV,,1,,,,,,,
307,2058,Did not need extra stuff like 4wd or navigation or high end radio,,,,,1,,,,
307,2059,"Handles great, good mpg, looks nice",1,,1,,1,,,,
307,2060,Rides very smooth on highway,,,,,,1,,,
307,2061,"Radio works well, plenty space for five or six",,,,,,,,1,
307,2062,Tailgate is nice feature for loading and unloading,,1,,,,,,,
307,2063,Car feels and looks more expensive than is was,,,,,,,,,1
307,2064,Interior looks sharp,,1,,,,,,,
308,2067,Despite getting into some horrendous traffic jams - the car still delivered over 25 mpg! Ride is quite smooth - but not perfect - especially on rough roads,,,,,1,1,,,
308,2068,Beautiful and comfortable interior,,1,,,,,,,
308,2069,Whisper-quiet engine with lots of power,,,,,,1,,,
308,2070,"(Can't understand why anyone would want the 8 cly.) I did not order the tech package, but bought a Garmin instead",,,,,1,,,,
308,2071,Unless you need frequent directions - this is the way to go,,,,,,1,,,
308,2072,My bluetooth cannot read my voice commands! Will make an appointment with dealer to fix.,,,,,,1,,,
309,2073,"Luckily, my 12mpg Infiniti QX56 has been traded and this 2009 Acura TSX is the replacement! I just wish I bought one of these before",,,,,1,,,,
309,2074,"Great handling! Smooth and quiet! Exceptional automobile! A good size trunk will work for weekend getaways with my wife and 2 girls! The design is ""slick and sassy""! I've owned a '95 Lexus ES300 and a 2002 Volvo S80",,,,,,,,1,
309,2075,"The Acura TSX beats both, in every way, by a mile!",,,,,1,,,,
310,2077,Its very sturdy and holds very well on freeway about 70-80mph,,,,,1,,,,
310,2079,get about 28mpg within city and 30-32 mpg on highway (mostly because of no cruise control),,,,,1,,,,
310,2081,"Very spacious too, can easily fit 4 people.",,1,,,,1,,,
311,2082,"I traded my 08 E350 Sport for a 2009 E350 sport mainly to upgrade to the new, faster electronics and music",,,,,,,,1,
311,2083,"I found no major driving differences, however the HD radio, the NAV system, the Voice Command and the increased response speed for all technology functions is amazing",,,,,,1,,,
311,2084,There is almost nothing you can't do with the voice command system,,,,,,1,1,,
311,2085,It even has a training module to improve the voice command's understanding of your input language,,,,,,1,,,
311,2086,Smooth ride and handling are accomplished with the sport suspension,,,,,,,1,,
313,2092,"It has 9,000 miles and has only been back to the dealer to have a sunroof put in and for oil changes",,,,,,,1,,
313,2093,"I do see other peoples concerns with the awkward shifting, but it isn't anything that really bothers me personally",,,,,,,1,,
313,2094,"The fuel economy says 24, but if you don't drive hard, I easily have cleared 27-28 in the city",1,,,,,,,,
313,2095,Great crossover for the reasonable price.,,,,,,,,,1
314,2096,"Upgraded from a 2003 Focus station wagon with leather and moon roof ? I was looking for something practical, competent and reliable",,,,,,,1,,
314,2097,Found it in the spacious Forester,,1,,,,,,,
314,2099,"Nevertheless, the Forester beats its competitors? handling and demeanor",,,,,1,,,,
314,2101,3 adults plus driver very pleased with comfort during 5 hours road trip,,1,,,,,,,
314,2102,Noise level remains low under 80 mph,,,,,1,,,,
314,2103,AWD shines on wet roads,,,,,1,,,,
314,2104,AC is more than sufficient for Texan heat,,,,,,,1,,
314,2105,Lots of goodies for colder climates,,,,,,1,,,
314,2106,Positively surprised by fuel consumption (comparable to old Focus),1,,,,,,,,
315,2107,I have been pleasantly surprised at the fuel economy and pep,1,,,,,,,,
315,2108,I drive primarily country roads and I am averaging 28.7 mpg,,,,,1,,,,
315,2109,"I was apprehensive about buying a four cyl., but the six speed trans really gives it great performance; it feels very peppy and is really fun to drive",,,,,1,,,,
315,2110,Unbelievably quiet ride for a car in this price range.,,,,,,1,,,
316,2111,"I have 4,000 Kms on my new Hyundai and the wheel wells have cracked and are broken in the front driver's side and in the rear - both sides! Hyundai Canada will not consider this a warranty issue and will not honor repairing the car",,,,,,,1,,
317,2116,"But, seeing is different than driving - it is quite roomy from inside, performs very well in city and high way",,,,,1,,,,
317,2117,I love this rounded cube!,,,1,,,,,1,
318,2120,"When switching vent from defrost to vent or floor, the A/C automatically activates",,,,,,1,,,
318,2122,Routinely end up driving with A/C on in the winter,,,,,,,,,
318,2123,"I'll adapt, but it's frustrating",,,,,,,,,1
318,2124,"Back seat seat belt connector very rigid, difficult for kids to buckle w/ booster seat",,,,,,1,,,
318,2125,Not great maneuverability in parking lots,,,,,1,,,,
318,2126,Fuel mileage in city is much less than estimated - highway is good.,1,,,,,,,,
319,2128,I purchased an i touring and have no regrets with the 4 cyl,,,,,1,,,,
319,2129,The styling of this car is amazing,,,1,,,,,,
319,2132,There is tons of room for the family and you never feel like you sacrificed style or performance,,1,,,,,,,
319,2133,"If you are looking for a great performing, look at me style vehicle for a great price, this is the car for you",,,,,1,,,,
320,2138,I absolutely love this new Jetta! Great torque through entire power band,,,,,1,,,,
320,2139,Love the tight German suspension engineering,,,,,,,1,,
320,2140,Manual transmission shifts like 'buttah',,,,,,,1,,
320,2141,"It's so much fun to throw the car into any curve, have it stay planted on the asphalt like it's on rails, give it some throttle and come rocketing out the other side",,,,,1,,,,
320,2143,Interior fit and finish is xlnt,,1,,,,,,,
320,2144,"I'm 6'4'' and have plenty of leg/head room, compared to most Japanese cars",,,,,,1,,,
320,2145,"There's enough bolster in the cloth seats for those curves, but still very comfortable for my daily commute to the city.",,,,,,1,,,
321,2146,"No reservation with the 09 Scion I am delighted with the buy, would of love a 5 speed shift but its my work car and the reason for purchasing the car was for economic reason",,,,,1,,,,
321,2148,"Economy is great, roomy, and fun to drive",,,,,,,,1,
321,2149,"The 2.4 engine make the Scion get and go, economy of the car is really see at the low speeds, the automatic trans could use an additional gear, keeping the RPMs around 1.8k when on the highway and would make the Scion that much more economic for highway use, but with a tight engine I got 315 miles on the first out of town trip",,,,,1,,,,
321,2150,Please do not misunderstand the Scion is good on gasoline,1,,,,,,,,
322,2151,"I've had my Corolla for two months now, it did 25.8 mpg city with a heavy gas hitter",1,,,,1,,,,
322,2152,The trunk has room for all my golf clubs and the split seat works well for my fishing rods,,,,,,1,,,
322,2153,The placement of everything is logical accept the clock,,,,,,1,,,
322,2154,The center console is a bit small along with the little compartment with the outlet,1,,,,,,,,
322,2155,The plastic does scratch easily leaving marks,,,,,,,1,,
322,2156,Everything feels solid nothing loose and feeling like it would break,,,,,,,1,,
322,2157,"The seating position can fit all, I'm 5'11 with long legs and it's really comfortable",,,,,,1,,,
322,2158,"If your looking for an economy car that gives you the most bang for the buck, this is it",,,,,1,,,,
323,2161,When we drove the Venza fell in love with it! We were impressed by the smooth drive of the car and the pick up on acceleration,,,,,1,1,,,
323,2163,Love the comfort and room,1,,,,,1,,,
324,2164,"This car is the best...I love it!! Sporty looks, nice colors to choose from, love the keyless entry/start, storage, cup holders, auto windows up/down & more, the 4 cyl has plenty of pep and I feel like I have a little bit of a luxury vehicle but at a great price! I compared to Honda Accord but it was kind of boring...I just kept thinkin about the Altima and I'm so happy I went with my gut feeling and chose this over the Honda",,,,,,1,,,
324,2165,"I have a child so needed a sedan for practical reasons, but I still wanted something a lil sporty too and this is it..the two pipes out the back add to the fun look and I got the rear spoiler which is nice",,,1,,,,,,
324,2166,Only wish I could get the fog lights.,,,,,,,,,1
325,2168,Extremely powerful and handles very well,,,,,1,,,,
325,2169,"I didn't like where some of the controls were, like the cruise control and the window/locks being on the center console",,,,,,,,,
325,2170,"I expected a bit better out of the sounds system, my G6 in my opinion had a much better sound and much deeper, more powerful bass.",,,,,,,,1,
326,2176,This is a non-pretentious car that is as good looking at the campground as it is pulling up to a top Manhattan restaurant,,,1,,,,,,
326,2177,I expect the same reliability and longevity,,,,,,,1,,
326,2178,"I also expect greater mpg than listed, since I did experience the same on my prior Subaru Wagon",,,,,1,,,,
326,2179,"Also,annual maintenance is relatively inexpensive and resale value is high.",,,,,,,,,1
327,2181,It is a sweet looking ride and handles very well,,,,,,1,,,
327,2182,Great stereo system,,,,,,,,1,
328,2189,"Gas mileage is good, but the on-board gauge is off",1,,,,,,,,
328,2190,"When it says I'm getting 37 mpg, it really is around 32",,,,,1,,,,
328,2191,"Still good, but instrument is unreliable",,,,,,,1,,
328,2192,You have to pay extra for many features that are standard for other models,,,,,,,,,1
328,2193,Insurance higher than on previous SUV,,,,,,,1,,1
328,2194,Check w/ your agent first.,,,,,,,1,,
329,2197,The gas mileage is not very good,1,,,,,,,,
329,2199,"However, in city driving, I am only averaging 14.3 mpg (according to the computer)",,,,,1,,,,
329,2200,"Hopefully, the mpg will get better as more miles are racked up",,,,,1,,,,
329,2201,I have had nothing but raves from friends and co-workers about the exterior and interior of the car,,,1,,,,,,
329,2202,I chose Palladium Metallic with the taupe interior,,1,,,,,,,
329,2203,I think this combination looks very good on the car,,,1,,,,,,
329,2204,"Not one person has mentioned the ""beak""",,,,,,,,,1
330,2207,"I have never driven anything so smooth and quiet, you can't even feel the vehicle shift",,,,,,1,,,
330,2208,It provides excellent sound barriers from the outside,,,,,,1,,,
330,2209,The seats and ride are so comfortable and the leg room is perfect for the taller population,,,,,,1,,,
330,2210,The investment is definitely worth it.,,,,,,,,,1
332,2217,Beautiful in camel pearl,,,1,,,,,,
332,2218,Comfortable leather seats,,,,,,1,,,
332,2219,Lots of headroom even with the sunroof,,1,,,,,,,
332,2220,Beige seats with black carpet & dash is really something different,,1,,,,,,,
332,2221,Great sound system,,,,,,,,1,
332,2222,Comfortable ride,,,,,,1,,,
332,2224,"Honda & Toyota had very incentives & wanted to have faith in the Ford Fusion, but couldn't",,,,,,,,,1
332,2225,"Happy, happy, joy, joy.",,,,,,,,1,
333,2226,"After almost 3 months of owning a new EOS I am still happy with the functionality of the sunroof, it has good torque throughout the RPM range even compared with other turbo engines, it has very good speakers but lousy sound unit (premium) but the worst for me is how it drives",,,,,,,,1,
333,2227,You have to be really delicate to avoid the car spinning like crazy when you start,,,,,,,1,,
333,2228,I have the upgraded 17'' wheels with Continental tires and that has helped little,,,,,,,1,,
333,2229,So at the end it dissapoints because the engine is great and the DSG gearbox is amazingly smooth but the car is not sitting on the road as it should and can become dangerous because of the big torque it has for its size.,,,,,,,1,,
334,2231,The gas mileage is increasing every tank full and I expect to easily exceed the 36 MPG rating for the car,1,,,,1,,,,
334,2232,I wasn't sure I would like the placement of the speedometer but I can't imagine driving a car with a conventional speedometer now!,,,,,,,1,,
335,2236,"It is a large roomy suv, but feels smaller than it is",,1,,,,,,,
335,2237,"We love using it for our children sport events, easy to bring cooler and gear for needed for games",,,,,,1,,,
336,2239,I bought this car right before winter started (I had a Toyota Matrix before) and boy was I glad! This car is great in the snow,,,,,,,1,,
336,2240,"It gets me where I need to be, from snowy roads in New Hampshire through crowded streets and in tight parking spots in downtown Boston",,,,,,1,,,
336,2241,"This car is powerful, small, easy to parallel park, and fun to drive",,,,,1,1,,1,
336,2242,"Although it is small, it is well designed",,,1,,,,,,
336,2243,My son sits in the back in his toddler seat no problem,,1,,,,1,,,
336,2244,"I have also sat in the backseat, and while it isn't as spacious as a SUV of course, your feet aren't squished",,1,,,,1,,,
336,2245,The seats and spacing is well designed.,,1,,,,1,,,
337,2248,Little details with regards to interior and exterior styling make it feel like a luxury vehicle,,,1,,,,,,
337,2250,"This was the best value based on 4-Door Sedan, 6-Speed Manual Transmission, styling, leather seats, etc.",,,,,,,1,,
